Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Last Inventory Year (2015),Change from base year to latest reported year
Hungary,"109,505.42","93,895.89","87,192.79","77,201.09","78,049.34","76,888.03","75,487.82","77,760.46","76,235.10","75,798.56","76,317.70","73,427.06","75,568.66","73,899.52","77,037.15","76,051.25","75,841.97","74,705.03","72,898.48","71,096.71","64,999.45","65,473.72","63,908.65","60,224.26","57,456.23","57,937.27","61,170.95",-44.14%
Iceland,"3,556.02","3,556.02","3,385.13","3,269.65","3,323.05","3,246.88","3,299.95","3,383.57","3,545.59","3,695.98","3,918.58","3,884.02","3,856.22","3,892.94","3,872.33","3,923.53","3,853.95","4,437.36","4,659.84","5,064.64","4,793.91","4,668.53","4,427.44","4,470.77","4,478.63","4,471.72","4,557.17",28.15%
Ireland,"56,102.77","56,102.77","56,838.19","56,795.40","57,067.30","58,357.18","59,772.57","61,868.97","63,353.39","65,848.76","66,958.74","69,075.66","71,124.17","69,075.59","69,276.55","68,562.57","69,981.63","69,311.22","68,545.65","67,882.79","62,239.95","61,691.90","57,567.45","58,124.04","57,922.47","57,757.92","59,878.21",6.73%
Italy,"519,917.39","519,917.39","521,736.42","516,999.38","510,122.23","502,478.12","531,097.51","524,924.86","530,262.18","542,016.33","547,497.58","552,863.71","560,813.84","561,320.33","575,960.40","580,460.50","579,448.54","569,541.93","561,702.77","548,192.50","496,158.37","505,046.99","491,141.56","470,142.33","440,470.22","423,323.99","433,024.54",-16.71%
Japan,"1,268,259.45","1,268,259.45","1,278,936.92","1,291,992.57","1,284,678.46","1,355,488.78","1,377,819.08","1,391,160.73","1,388,135.91","1,344,348.72","1,366,274.64","1,385,046.80","1,357,302.07","1,388,977.15","1,391,714.51","1,388,291.03","1,395,731.50","1,376,913.59","1,411,862.21","1,325,960.79","1,249,962.52","1,303,702.34","1,353,317.27","1,389,021.91","1,406,855.02","1,361,929.83","1,322,567.82",4.28%
Kazakhstan,"375,724.30","375,724.30","358,494.54","332,026.92","40,797,401.93","248,802.54","228,327.46","207,411.21","195,911.19","189,289.34","161,330.65","189,955.39","179,345.13","198,344.20","218,957.72","228,412.88","241,249.71","266,338.74","274,590.16","275,977.17","272,994.66","303,642.43","293,667.69","302,344.56","309,099.47","314,746.22","298,064.13",-20.67%
Latvia,"26,141.43","26,141.43","24,175.95","19,416.54","16,003.27","14,109.48","12,697.62","12,755.65","12,195.92","11,693.78","10,906.21","10,336.41","10,935.21","10,917.09","11,091.98","11,081.92","11,290.67","11,815.09","12,270.39","11,801.73","11,083.34","12,202.43","11,432.81","11,331.49","11,250.11","11,190.02","11,302.67",-56.76%
Liechtenstein,229.21,229.21,236.68,236.91,244.04,230.59,234.32,236.81,249.32,260.32,257.38,248.14,247.61,254.03,264.20,264.85,265.65,268.99,239.88,259.96,245.20,230.35,217.44,226.77,233.27,201.82,199.39,-13.01%
Lithuania,"48,040.58","48,040.58","49,986.19","30,750.07","24,718.36","23,300.07","22,326.11","23,343.41","22,876.81","23,839.70","21,112.79","19,600.32","20,415.39","20,841.38","21,028.97","21,870.54","23,067.84","23,340.71","25,436.97","24,423.84","19,974.57","20,782.48","21,344.57","21,227.96","19,948.07","19,869.14","20,096.21",-58.17%
Luxembourg,"12,730.46","12,730.46","13,366.69","13,120.17","13,255.94","12,419.85","10,049.92","10,108.35","9,461.25","8,578.56","9,039.99","9,616.97","10,102.92","10,881.78","11,324.32","12,717.16","12,961.17","12,798.04","12,225.34","12,111.83","11,573.37","12,149.97","12,042.45","11,749.85","11,213.64","10,755.97","10,268.93",-19.34%
